timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2026-03-01 13:57:01,"$66,319.14",$1.32T,$41.12B,19.99M BTC,0.34% (24h),,
2026-03-01 14:01:48,"$66,328.72",$1.32T,$41.21B,19.99M BTC,0.64% (24h),,
2026-03-01 14:34:04,"$66,022.64",$1.32T,$40.57B,19.99M BTC,0.26% (24h),,
2026-03-01 14:51:25,"$65,856.04",$1.31T,$40.07B,19.99M BTC,1.17% (24h),,
2026-03-01 15:01:17,"$65,948.37",$1.31T,$40.04B,19.99M BTC,0.55% (24h),,
2026-03-01 15:38:55,"$65,250.03",$1.3T,$39.65B,19.99M BTC,2.09% (24h),,
2026-03-01 15:57:19,"$65,348.37",$1.3T,$40.01B,19.99M BTC,2.31% (24h),,
2026-03-01 16:24:23,"$65,619.55",$1.31T,$39.62B,19.99M BTC,1.4% (24h),,
2026-03-01 16:46:45,"$65,623.25",$1.31T,$39.78B,19.99M BTC,1.96% (24h),,
2026-03-01 16:58:53,"$65,731.99",$1.31T,$39.64B,19.99M BTC,1.53% (24h),,
2026-03-01 17:30:24,"$65,905.90",$1.31T,$39.79B,19.99M BTC,1.65% (24h),,
2026-03-01 17:53:33,"$65,270.94",$1.3T,$39.81B,19.99M BTC,2.91% (24h),,
2026-03-01 18:23:45,"$65,699.12",$1.31T,$40.56B,19.99M BTC,1.97% (24h),,
2026-03-01 18:48:06,"$65,724.03",$1.31T,$40.72B,19.99M BTC,1.93% (24h),,
2026-03-01 19:01:24,"$65,788.05",$1.31T,$40.55B,19.99M BTC,1.8% (24h),,
2026-03-01 21:51:02,"$66,251.84",$1.32T,$38.99B,19.99M BTC,2.23% (24h),,
2026-03-01 23:30:54,"$66,927.42",$1.33T,$38.12B,19.99M BTC,0.59% (24h),,
2026-03-02 00:39:20,"$66,804.17",$1.33T,$38.71B,19.99M BTC,1.04% (24h),,
2026-03-02 01:37:39,"$66,246.23",$1.32T,$38.73B,19.99M BTC,1.01% (24h),,
2026-03-02 02:37:30,"$65,932.54",$1.31T,$39.24B,19.99M BTC,1.87% (24h),,
2026-03-02 03:06:59,"$65,864.64",$1.31T,$39.24B,19.99M BTC,1.59% (24h),,
2026-03-02 04:01:10,"$66,283.82",$1.32T,$39.22B,19.99M BTC,0.37% (24h),,
2026-03-02 05:02:39,"$66,305.49",$1.32T,$39.96B,19.99M BTC,0.22% (24h),,
2026-03-02 06:01:20,"$66,269.79",$1.32T,$40.58B,19.99M BTC,0.33% (24h),,
2026-03-02 06:38:01,"$66,185.31",$1.32T,$41.03B,19.99M BTC,0.46% (24h),,
2026-03-02 06:59:59,"$66,332.71",$1.32T,$41.51B,19.99M BTC,0.2% (24h),N/A,N/A
